HRIS_code,資金來源,地區,服務類別,單位類別1,單位類別2,單位類別3,組別 / 單位,地址,電郵,電話 (Fax no.),主任 / 負責人,主任電郵,成立日期(命名日期),服務名額,服務年齡/面積 (平方米),備註
R-CYC-ECP,社署資助,新界,康復服務,康復延展照顧服務,康復-院舍,(鄭翼之中心) 延展照顧計劃,"(鄭翼之中心) 延展照顧計劃
Extended Care Programme
(RE26)","新界沙田大圍悠定街九號
9 Yau Ting Street, Tai Wai, Shatin, N.T.",yccheng@poleungkuk.org.hk,"2699 3355
(2697 1773)","李嘉妍
Fanny Li",fanny.li@poleungkuk.org.hk,"2008年 (原名額10)
2.2015 (再轉名額60)
11.2018 (再轉名額5)
12.2024 (再轉名額60)",135 (男女),50歲或以上,-
R-PFL,社署資助,香港,康復服務,康復-院舍及日間照顧服務,康復-院舍,薄扶林復康中心,"薄扶林復康中心
Pokfulam Rehabilitation Centre
(RE30)","香港薄扶林道147號五樓及六樓
5/F & 6/F, 147 Pokfulam Road, Hong Kong",pfl@poleungkuk.org.hk,"2551 3302
(2551 3329)","吳柏宗
Louis Ng
(署任)",chung.ng@poleungkuk.org.hk,8.2009,"46 住宿 (男女)
38 日間服務 (男女)
2 指定暫宿
2 偶然暫宿","15歲或以上
15歲或以上
6歲或以上
6歲或以上",-
R-PFL-ECP,社署資助,香港,康復服務,康復延展照顧服務,康復-院舍,(薄扶林復康中心) 延展照顧計劃,"(薄扶林復康中心) 延展照顧計劃
Extended Care Programme","香港薄扶林道147號五樓及六樓
5/F & 6/F, 147 Pokfulam Road, Hong Kong",pfl@poleungkuk.org.hk,"2551 3302
(2551 3329)","吳柏宗
Louis Ng
(署任)",chung.ng@poleungkuk.org.hk,"   12.2024
   (轉名額10)",10 (男女),50歲或以上,
R-LCSP,社署資助,新界,康復服務,康復-院舍-日間照顧服務-職業健康服務,康復-院舍,劉陳小寶綜合復康中心,"劉陳小寶綜合復康中心
Lau Chan Siu Po Integrated Rehabilitation Centre          (RE24)","新界天水圍天恩邨服務設施大樓五樓及六樓
5/F & 6/F, Ancillary Facilities Block, Tin Yan Estate, Tin Shui Wai, N.T.",tinyanirc@poleungkuk.org.hk,"3525 0898
(3525 0882)","梁美霞
Dilys Leung",dilys.leung@poleungkuk.org.hk,3.2006,"68 住宿 (男女)
88 日間服務 (男女)
2 指定暫宿
2 偶然暫宿","15歲或以上
15歲或以上
6歲或以上
6歲或以上",-
R-LCSP-ECP,社署資助,新界,康復服務,康復延展照顧服務/職業康復延展計劃,職業健康服務,(劉陳小寶綜合復康中心) 延展照顧計劃,"(劉陳小寶綜合復康中心) 延展照顧計劃
Extended Care Programme","新界天水圍天恩邨服務設施大樓五樓及六樓
5/F & 6/F, Ancillary Facilities Block, Tin Yan Estate, Tin Shui Wai, N.T.",tinyanirc@poleungkuk.org.hk,"3525 0898
(3525 0882)","梁美霞
Dilys Leung",dilys.leung@poleungkuk.org.hk,"   12.2024
   (轉名額10)",10 (男女),50歲或以上,
R-PHH,社署資助,新界,康復服務,康復-院舍-日間照顧服務-職業健康服務,康復-院舍,夏利萊博士伉儷綜合復康中心,"夏利萊博士伉儷綜合復康中心
Padma & Hari Harilela Integrated Rehabilitation Centre          (RE31)","新界葵涌葵盛圍310號
310 Kwai Shing Circuit, Kwai Chung, N.T.",phhirc@poleungkuk.org.hk,"3980 9688
(3980 9633)","李浩淇
Dick Lee",dick.lee@poleungkuk.org.hk,12.2010,"321 住宿 (男女)
217 日間服務 (男女)
2 指定暫宿
9 偶然暫宿","15歲或以上
15歲或以上
6歲或以上
6歲或以上",-
R-PHH-ECP,社署資助,新界,康復服務,康復延展照顧服務/職業康復延展計劃,職業健康服務,(夏利萊博士伉儷綜合復康中心) 延展照顧計劃,"(夏利萊博士伉儷綜合復康中心) 延展照顧計劃
Extended Care Programme
(RE48)","新界葵涌葵盛圍310號
310 Kwai Shing Circuit, Kwai Chung, N.T.",phhirc@poleungkuk.org.hk,"3980 9688
(3980 9633)","李浩淇
Dick Lee",dick.lee@poleungkuk.org.hk,"2.2015 (原名額10)
11.2018起 (增收15人)",25 (男女),50歲或以上,-
R-ABOT,社署資助,新界,康復服務,專職醫療服務,康服支援服務,駐機構職業治療服務,"駐機構職業治療服務
Agency-based Occupational Therapy Service 
(RE15)","新界葵涌葵盛圍310號
310 Kwai Shing Circuit, Kwai Chung, N.T.",abot@poleungkuk.org.hk,"3980 9688
(3980 9633)","李浩淇
Dick Lee",dick.lee@poleungkuk.org.hk,4.1996,本局康復學員,15歲或以上,-
R-ABST,社署資助,新界,康復服務,專職醫療服務,康服支援服務,駐機構言語治療服務,"駐機構言語治療服務
Agency-based Speech Therapy Service
(RE49)  ","新界葵涌葵盛圍310號
310 Kwai Shing Circuit, Kwai Chung, N.T.",absts@poleungkuk.org.hk,"3980 9688
(3980 9633)","李浩淇
Dick Lee",dick.lee@poleungkuk.org.hk,3.2019,本局康復學員,15歲或以上,-
R-SPED,社署資助,新界,康復服務,殘疾僱員支援服務,康服支援服務,殘疾僱員支援計劃,"殘疾僱員支援計劃
Support Programme for Employees with Disabilities      (RE35)","新界沙田顯徑邨顯富樓地下A及B翼
Wing A & B, G/F Hin Fu House, Hin Keng Estate, Shatin, N.T.",sped@poleungkuk.org.hk,"3980 9677
(3980 9633)","黃子業
Wong Tsz Yip",tszyip.wong@poleungkuk.org.hk,4.2013,-,-,-
R-SSP,社署資助,九龍,康復服務,康復-院舍,康復-院舍,深水埗綜合復康中心,"深水埗綜合復康中心
Sham Shui Po Integrated Rehabilitation Centre
(RE38)","九龍深水埗石硤尾邨服務設施大樓四樓及五樓
4/F & 5/F, Ancillary Facilities Block, Shek Kip Mei Estate, Sham Shui Po, Kowloon",sspirc@poleungkuk.org.hk,"3568 7853
(3568 7859)","方肇聰
Dennis Fong
(署任)",-,10.2014,"104 住宿 (男女)
53 日間服務 (男女)
6 偶然暫宿","15歲或以上
15歲或以上
6歲或以上",-
R-SSP,社署資助,九龍,康復服務,康復延展照顧服務,康復-院舍,(深水埗綜合復康中心) 延展照顧計劃,"(深水埗綜合復康中心) 延展照顧計劃
Extended Care Programme","九龍深水埗石硤尾邨服務設施大樓四樓及五樓
4/F & 5/F, Ancillary Facilities Block, Shek Kip Mei Estate, Sham Shui Po, Kowloon",sspirc@poleungkuk.org.hk,"3568 7853
(3568 7859)","方肇聰
Dennis Fong
(署任)",-,"12.2024
(轉名額10)",10 (男女),50歲或以上,
"R-ABCP
R-PSY",社署資助,新界,康復服務,專職醫療服務,康服支援服務,臨床心理服務,"臨床心理服務
Clinical Psychological Service
(RE14)","新界沙田大圍悠定街九號
9 Yau Ting Street, Tai Wai, Shatin, N.T.",-,"2277 8392
(2890 2097)","葉鍵池
Patrick Yip",patrick.kc.yip@poleungkuk.org.hk,4.1996,本局康復學員,6歲或以上,-
R-TKP,自資,新界,康復服務,康復家居/社區支援服務單位,康服支援服務,田家炳康復支援中心,"田家炳康復支援中心
Tin Ka Ping Rehabilitation Support Centre
(RE27)","新界沙田顯徑邨顯富樓地下A及B翼
Wing A & B, G/F Hin Fu House, Hin Keng Estate, Shatin, N.T.",tkprsc@poleungkuk.org.hk,"3525 1013
(3525 1041)","葉鍵池
Patrick Yip",patrick.kc.yip@poleungkuk.org.hk,3.2008,Open Membership,不限年齡,-
R-DSC-ST,社署資助,新界,康復服務,康復家居/社區支援服務單位,康服支援服務,地區支援中心 (沙田),"地區支援中心 (沙田)
District Support Centre (Shatin)
(RE29)","新界沙田馬鞍山恆安邨恆海樓地下17-24室
Units 17-24, G/F, Heng Hoi House, Heng On Estate, Ma On Shan, Shatin, N.T.",dscs@poleungkuk.org.hk,"3749 9311
(3741 2603)","林冠達
Edwin Lam",kwuntat.lam@poleungkuk.org.hk,"1.2009 (開辦)
3.2012 (遷址)",Open Membership,不限年齡,-
R-HCARE-NT,社署資助,新界,康復服務,康復家居/社區支援服務單位,康服支援服務,嚴重殘疾人士家居照顧服務(新界區),"嚴重殘疾人士家居照顧服務(新界區)
Home Care Service for Persons with Severe Disabilities (NT)
(RE39)","天瑞: 
新界天水圍天瑞社區中心四樓
4/F Tin Shui Community Centre, Tin Shui Wai, N.T.",homecare.nt@poleungkuk.org.hk,"2154 3818
(2154 3889)","廖國君
Calvin Liu","	kwokkwan.liu@poleungkuk.org.hk",3.2014,550,-,-
R-SPDS-NT,社署資助,新界,康復服務,康復家居/社區支援服務單位,康服支援服務,嚴重肢體傷殘人士綜合支援服務(新界區),"嚴重肢體傷殘人士綜合支援服務(新界區)
Integrated Support Service for Persons with Severe Physical Disabilities (NT)
(RE40)","青衣: 
新界青衣青衣路18號青富苑青隆閣地下低層2樓
LG2/F, Ching Lung House, Ching Fu Court, 18 Tsing Yi Road, Tsing Yi, N.T.

大埔:
新界大埔頌雅路11號富蝶邨社會服務大樓地下低層
LG/F, Social Service Building, Fu Tip Estate,11 Chung Nga Road, Tai Po, N.T.",iss.nt@poleungkuk.org.hk,"3547 1171
(3547 1170)


2784 1662
(2784 1202)","黃欣懿
Tiffany Wong",tiffany.yy.wong@poleungkuk.org.hk,11.2014,"475 (服務)
不限(基金申請)",-,-
R-SPU-KLE,社署合約金,九龍,康復服務,失業受助人士支援計劃,康服支援服務,失業受助人士支援計劃(九龍東),"失業受助人士支援計劃(九龍東)
Support Programme for the Unemployed (Kowloon East)","九龍觀塘翠屏邨翠桐樓地下
G/F, Tsui Tung House, Tsui Ping Estate, Kwun Tong, Kowloon",spu.kle@poleungkuk.org.hk,"2126 7623 / 2126 7624
(3013 8930 / 3013 9835)","張煒恩
Cheung Wai Yan",wy.cheung@poleungkuk.org.hk,10.2025,不限,15-59 歲,
R-SPU-NTW,社署合約金,新界,康復服務,失業受助人士支援計劃,康服支援服務,失業受助人士支援計劃(新界西),"失業受助人士支援計劃(新界西)
Support Programme for the Unemployed (New Territories West)","新界天水圍天澤邨澤宇樓地下
G/F, Chak Yu House, Tin Chak Estate, Tin Shui Wai, N.T.",spu.ntw@poleungkuk.org.hk,"3480 2971 / 3480 2972
(3010 8162 / 3011 9548)","梁美詩
Macy Leung","	macy.leung@poleungkuk.org.hk",10.2025,不限,15-59 歲,
R-GEAST,環保署,香港,康復服務,環保項目,環保項目,綠在東區,"綠在東區
GREEN@EASTERN
(RE54)","香港筲箕灣愛信道30號
30 Oi Shun Road, Shau Kei Wan, Hong Kong",ecgs@poleungkuk.org.hk,"2778 2330
(2778 2782)","龍淑霞
Ronnie Lung",ronnie.lung@poleungkuk.org.hk,4.2015,-,-,-
R-GSSP,環保署,九龍,康復服務,環保項目,環保項目,綠在深水埗,"綠在深水埗
GREEN@SHAM SHUI PO
(RE53)","九龍深水埗通州街339號
339 Tung Chau Street, Sham Shui Po, Kowloon",sspcgs@poleungkuk.org.hk,"2522 4388
(2522 4500)","倫景淘
Alvin Lun","	kingto.lun@poleungkuk.org.hk",4.2017,-,-,-
R-DELISH,自資,新界,康復服務,社會企業,社會企業,一點回味,"一點回味
Delish One
(RE37)","新界天水圍天晴邨天晴社區綜合服務大樓5樓507室
Unit 507, 5/F, Tin Ching Amenity and Community Building, Tin Ching Estate, Tin Shui Wai, N.T.",delishone@poleungkuk.org.hk,"6414 4676

門巿：
3464 0935
(3464 0937)","林艷芳
Dawn Lam",dawn.lam@poleungkuk.org.hk,2.2015,-,-,-
R-DOK,自資,香港,康復服務,社會企業,社會企業,「一點回味」廚房 ,"「一點回味」廚房 
Delish One Kitchen","香港柴灣新業街6號安力工業中心24樓2412室
Rm 2412, 24/F Honour Industrial Centre, 6 Sun Yip Street, Chai Wan, Hong Kong

廚房
香港柴灣新業街6號安力工業中心17樓1715室",delishonekitchen@poleungkuk.org.hk,"3702 0354
(3704 7193)","蘇文輝
So Man Fai",mf.so@poleungkuk.org.hk,7.2022,-,-,-
R,自資,新界,康復服務,社會企業,社會企業, 一同手作," 一同手作
Artsy One
(RE44)",-,artsyone@poleungkuk.org.hk,-,"蔡啟然
Choi Kai Yin",kaiyin.choi@poleungkuk.org.hk,"11.2016(開辧)
8.2021(轉營)",-,-,-
E-LCSPD,社署資助,九龍,安老服務,長者日間中心,長者日間中心,保良局劉陳小寶長者地區中心 (ES19),"保良局劉陳小寶長者地區中心 (ES19)
Po Leung Kuk Lau Chan Siu Po District Elderly Community Centre","九龍藍田碧雲道223號德田邨藍田社區綜合大樓一樓及德欣樓地下B翼
1/F Lam Tin Community Complex & G/F Tak Yan House, Tak Tin Estate, 223 Pik Wan Road, Lam Tin, Kowloon",taktin.decc@poleungkuk.org.hk,"2177 6299
(2177 6121)","張翠韻
Cheung Chui Wan, Victoria",victoria.cheung@poleungkuk.org.hk,6.2005,"公開招收
會員","60歲或以上/
645平方米",-
E-LCSP-N,社署資助,九龍,安老服務,長者日間中心,長者日間中心,保良局劉陳小寶耆暉中心 (ES01),"保良局劉陳小寶耆暉中心 (ES01)
Po Leung Kuk Lau Chan Siu Po Neighbourhood Elderly Centre","九龍觀塘樂華南邨輝華樓地下109-120室
Rm 109-120, G/F, Fai Wah House, Lok Wah South Estate, Kwun Tong, Kowloon

九龍觀塘樂華北邨立華樓地下101-102, 105-108室
Rm 101-102, 105-108, G/F, Lap Wah House, Lok Wah North Estate, Kwun Tong, Kowloon",lauchan.nec@poleungkuk.org.hk,"樂華南邨輝華樓:
2796 1129
2796 1120
(2796 1113)
樂華北邨立華樓:
2755 5073","楊幗玲
Yeung Kwok Ling, Becky",becky.yeung@poleungkuk.org.hk,2.1987,"公開招收
會員","60歲或以上/
輝華樓: 334平方米
立華樓: 243平方米",-
E-CKL-N,社署資助,新界,安老服務,長者日間中心,長者日間中心,保良局曹金霖夫人耆暉中心(ES03),"保良局曹金霖夫人耆暉中心(ES03)
Po Leung Kuk Mrs. Chao King Lin Neighbourhood Elderly Centre","新界青衣長發邨長發社區中心一樓
1/F, Cheung Fat Community Centre, Cheung Fat Estate, Tsing Yi, N.T

新界青衣長發邨敬發樓地下102室
Rm102, G/F, King Fat House, Cheung Fat Estate,
Tsing Yi, N.T.",chaokinglin.nec@poleungkuk.org.hk,"長發社區中心:
2433 5822
(2435 5078)
敬發樓:
2433 7300
(2433 6078)","劉海燕
Lau Hoi Yin,Vicky",vicky.hy.lau@poleungkuk.org.hk,1.1990,"公開招收
會員","60歲或以上/
長發社區中心: 105平方米
敬發樓: 237平方米",-
E-CKT-N,社署資助,九龍,安老服務,長者日間中心,長者日間中心,保良局莊啟程耆暉中心 (ES08),"保良局莊啟程耆暉中心 (ES08)
Po Leung Kuk Vicwood K.T. Chong Neighbourhood Elderly Centre","九龍將軍澳貿泰路八號茵怡花園第一座平台一樓
Block 1, Podium Level 1, Verbena Heights, 8 Mau
Tai Road, Tseung Kwan O, Kln.",vicwoodchong.nec@poleungkuk.org.hk,"2997 0206
 (2997 0236)","周順安
Chow Shun On, Thomas
(署任中心主任)",shunon.chow@poleungkuk.org.hk,1.1998,"公開招收
會員","60歲或以上/
220.623平方米",-
E-LYYS-N,社署資助,九龍,安老服務,長者日間中心,長者日間中心,保良局盧邱玉霜耆暉中心 (ES11),"保良局盧邱玉霜耆暉中心 (ES11)
Po Leung Kuk Lo Yau Yuk Sheung Neighbourhood Elderly Centre","九龍油麻地彌敦道570-572號基利商業大廈三樓
3/F, Kelly Commercial Centre, 570-572 Nathan Road Yaumati, Kowloon",loyau.nec@poleungkuk.org.hk,"2782 0220
(2771 7166)","蔡淑華
Tsoi Shuk Wa, Emily","	emily.tsoi@poleungkuk.org.hk",9.1996,"公開招收
會員","60歲或以上/
216.2平方米",-
E-WYC-N,社署資助,九龍,安老服務,長者日間中心,長者日間中心,保良局黃祐祥紀念耆暉中心 (ES17),"保良局黃祐祥紀念耆暉中心 (ES17)
Po Leung Kuk Wong Yau Cheung Memorial Neighbourhood Elderly Centre","九龍將軍澳翠林邨欣林樓地下A翼109-116室
Unit 109-116,Wing A, G/F., Yan Lam House, Tsui Lam Estate, Tseung Kwan O, Kowloon",wycm.nec@poleungkuk.org.hk,"2702 3434
2623 7039
 (2706 4361)","連得輝
Lin Tak Fai,",tf.lin@poleungkuk.org.hk,4.2003,"公開招收
會員",60歲或以上/ 360平方米,-
E-WLMY-N,社署資助,九龍,安老服務,長者日間中心,長者日間中心,保良局溫林美賢耆暉中心 (ES38),"保良局溫林美賢耆暉中心 (ES38)
Po Leung Kuk Wan Lam May Yin Shirley Neighbourhood Elderly Centre","九龍九龍城沐虹街12號晴朗商場二樓A206舖
Shop A206,2/F, Ching Long Shopping Centre, 12 Muk Hung Street, Kowloon City, Kowloon ",shirleywan.nec@poleungkuk.org.hk,"2897 6608
(2896 5878)","蔡國輝
Choi Kwok Fai Johnson",johnson.choi@poleungkuk.org.hk,3.2014,公開招收,"60歲或以上/
423平方米",-
E-JOLLYNET,社署資助,九龍,安老服務,長者日間中心,長者日間中心,保良局棨儀喜悦薈 (ES49),"保良局棨儀喜悦薈 (ES49)
Po Leung Kuk Kai Yee Jolly Net","將軍澳至善街5號將軍澳南服務設施大樓1樓
1/F, Tseung Kwan O South Ancillary Facilities Block, 5 Chi Shin Street, Tseung Kwan O",jollynet@poleungkuk.org.hk,"2743 8466
(2743 8468)",待聘,,11.2021,公開招收會員,"60或以上 / 
400平方米",-
E-CWPQHJN,社署資助,新界,安老服務,長者日間中心,長者日間中心,保良局張惠萍皇后山喜悦薈(ES56),"保良局張惠萍皇后山喜悦薈(ES56)
Po Leung Kuk Cheung Wai Ping Queens Hill Jolly Net","新界粉嶺龍峻路6 號皇后山社區綜合 大樓 1 樓
1/F, Queens Hill Community Complex, 6 Lung Chun Road, Fanling, NT",queenshill.nec@poleungkuk.org.hk,"2555 0890
(2555 0183)","吳頴芝
Ng Wing Chi, Gigi
(兼任中心主任至另行通知)",wc.ng@poleungkuk.org.hk,2.2023,公開招收會員,"60歲或以上 / 
418平方米",
E-CFJONET,社署資助,新界,安老服務,長者日間中心,長者日間中心,保良局青富喜悦薈（ES58）,"保良局青富喜悦薈（ES58）
Po Leung Kuk Ching Fu Jolly Net","青衣青衣路18號青富苑青隆閣地下低層3樓
LG 3/F, Ching Lung House, Ching Fu Court, 18 Tsing Yi Road, Tsing Yi",chingfu.jollynet@poleungkuk.org.hk,"2120 1688
(2120 1616)","孫嘉毅
Suen Ka Ngai, Derek",derek.suen@poleungkuk.org.hk,07.2025,"公開招收
會員","60歲或以上 / 
386平方米",
E-FTYL,自資,九龍,安老服務,長者日間中心,長者日間中心,保良局方譚遠良健樂中心 (ES10),"保良局方譚遠良健樂中心 (ES10)
Po Leung Kuk Fong Tam Yuen Leung Health Enhancement Centre for the Senior","九龍觀塘秀茂坪曉麗苑商場106號
Unit 106, Commercial Complex, Hiu Lai Court, Sau Mau Ping, Kwun Tong, Kowloon",fongtam.hc@poleungkuk.org.hk,"2340 4712
2952 5601
(2952 5761)","李嘉峰
Li Ka Fung, Kyle
(署任中心主任)",kafung.li@poleungkuk.org.hk,6.1997,"公開招收
會員","50歲或以上/
214平方米",-
E-MC,自資,九龍,安老服務,長者日間中心,長者日間中心,保良局張麥珍耆樂中心 (ES13),"保良局張麥珍耆樂中心 (ES13)
Po Leung Kuk Mrs. Maria Cheung Lifelong Learning Institute for the Senior","九龍鑽石山龍蟠街1號悅庭軒地下
Ground Floor, Bel Air Heights No. 1, Lung Poon Street, Diamond Hill, Kln.",mariacheung.lc@poleungkuk.org.hk,"2242 2827
(2242 2961)","鍾顯亮
Chung Hin Leung, Justin",hinleung.chung@poleungkuk.org.hk,1. 2000,"公開招收
會員","50歲或以上/
222平方米",-
E-TKPFJ,自資,新界,安老服務,長者日間中心,長者日間中心,保良局田家炳長幼天地  (ES26),"保良局田家炳長幼天地  (ES26)
Po Leung Kuk Tin Ka Ping Family Joy Centre","新界沙田秦石邨石暉樓地下2號
No.2, G/F, Shek Fai House, Chun Shek Estate, Shatin",familyjoy@poleungkuk.org.hk,"2692 2600
(2692 8802)","謝小霞
Tse Siu Ha",sh.tse@poleungkuk.org.hk,2.2009,"公開招收
會員","家庭會藉
及個人會藉(不限年齡) / 199平方米",-
E-LHS,自資,新界,安老服務,長者日間中心,長者日間中心,保良局劉漢宣紀念長幼天地 (ES32),"保良局劉漢宣紀念長幼天地 (ES32)
Po Leung Kuk Lau Hon Shuen Memorial Family Joy Centre","新界葵涌葵涌邨合葵樓地下1-4及18-19號
No.1-4 & 18,19, Hop Kwai House, Kwai Chung Estate, Kwai Chung, N.T.",kcfjc@poleungkuk.org.hk,"3998 4550
(3998 4551)","魏宇玲
Ngai Yu Ling",yl.ngai@poleungkuk.org.hk,11.2014,"公開招收
會員","家庭會藉
及個人會藉(不限年齡) / 275平方米",-
E-CPCE,自資,九龍,安老服務,長者日間中心,長者日間中心,保良局華永會生命教育及長者支援中心 (ES35),"保良局華永會生命教育及長者支援中心 (ES35)
Po Leung Kuk BMCPC Life Education and Elderly Support Centre","九龍觀塘雲漢邨漢柏樓地下5號
Unit 5, G/F, Hon Pak House, Wan Hon Estate, Kwun Tong, Kln.",bmcpc@poleungkuk.org.hk,"3690 2291
(3690 2294)","黎詠溮
Lai Wing Sze, Simba",wingsze.lai@poleungkuk.org.hk,1.4.2013,公開招收,"不限年齡
294平方米",-
E-TTPROACT,社署資助,香港,安老服務,長者日間中心,長者日間中心,保良局天德長者援手網絡中心 (ES15),"保良局天德長者援手網絡中心 (ES15)
Po Leung Kuk Tian Teck Proactive Concern Centre for the Elderly","香港西環卑路乍街8號1樓平台
Podium Level 1, 8 Belcher’s Street, Western, Hong Kong",eldcom.watch@poleungkuk.org.hk,"2542 7765
(2542 7769)","葉佩珊
Yip Pui Shan, Ashley",ashley.yip@poleungkuk.org.hk,6.2002,"公開招收
會員","不限/
250.1平方米",-
E-CABY,社署資助,香港,安老服務,安老院舍,安老院舍,保良局陳區碧茵頤養院 (ES04),"保良局陳區碧茵頤養院 (ES04)
Po Leung Kuk Chan Au Big Yan Home for the Elderly","香港西環卑路乍街12號
12 Belcher's Street, Kennedy Town, H.K. ",chanaubigyan@poleungkuk.org.hk,"2817 1858
(2818 3174)","鄭紫珊
Cheng Tsz Shan, Sylvia",sylvia.ts.cheng@poleungkuk.org.hk,10.1991,護理: 83,"65歲或以上/
758平方米",-
E-AGING,社署資助,香港,安老服務,長者日間護理中心,長者日間中心,保良局頤康長者日間護理中心 (ES15),"保良局頤康長者日間護理中心 (ES15)
Po Leung Kuk Ageing Well Day Care Centre","香港西環卑路乍街12號
12 Belcher's Street, Kennedy Town, H.K.",chanaubigyan@poleungkuk.org.hk,"2817 1858
(2818 3174)","鄭紫珊
Cheng Tsz Shan, Sylvia",sylvia.ts.cheng@poleungkuk.org.hk,6.2002,20,60歲或以上,-
E-ATKK,社署資助,香港,安老服務,安老院舍及長者日間護理中心,安老院舍,保良局黃竹坑護理安老中心,"保良局黃竹坑護理安老中心
 Po Leung Kuk Wong Chuk Hang Service for the Elderly
 - 甲子護理安老院 (ES06)
    1984 Care and Attention Home
 - 胡陳金枝安老院
    Madam Aw Tan Kyi Kyi Home For the Aged
 - 八二總理老人日間護理中心 (ES05) 
   1982 Board of Directors Day Care Centre for the Elderly","香港仔黃竹坑黃竹坑徑1號
No.1, Wong Chuk Hang Path, Wong Chuk Hang, Aberdeen, Hong Kong",84home@poleungkuk.org.hk,"2554 0020
(2518 7506)","蘇卓蓮
So Cheuk Lin, Grace",cheuklin.so@poleungkuk.org.hk,2.1994,"護理: 117
 
日間: 44","65歲或以上/
5,037平方米

日間: 60歲或以上",-
E-SM,社署資助,九龍,安老服務,安老院舍,安老院舍,保良局蕭明紀念護老院 (ES07),"保良局蕭明紀念護老院 (ES07)
Po Leung Kuk Siu Ming Memorial Home cum Care & Attention Unit","九龍藍田廣田邨廣軒樓及廣雅樓地下及1字樓
G/F & 1/F, Kwong Hin House & Kwong
Ngar House, Kwong Tin Est., Lam Tin, Kowloon",siuming@poleungkuk.org.hk,"2349 4800
(2952 9867)","張芷頴
Chueng Chi Wing, Vera",chiwing.cheung@poleungkuk.org.hk,10.1994,護理: 137,"65歲或以上/ 2,864平方米",-
E-MERRY,社署合約金,九龍,安老服務,安老院舍,安老院舍,保良局壬午年耆樂居 (ES16),"保良局壬午年耆樂居 (ES16)
Po Leung Kuk Merry Court for the Senior","九龍何文田邨采文樓及綺文樓地下及一樓
G/F & 1/F, Choi Man House & Yee Man House, Ho Man Tin Estate, Kowloon",merrycourt@poleungkuk.org.hk,"2242 1713
(2242 1579)","林英好
Lin Ying Hao
(署任直至另行通知)",yh.lin@poleungkuk.org.hk,11.2002,"護理及護養:
110 (資助)
38 (非資助)","65歲或以上/
2,992平方米",-
E-ECO,社署合約金,九龍,安老服務,安老院舍及長者日間護理中心,安老院舍,保良局癸未年樂頤居暨耆安長者日間護理中心 (ES18),"保良局癸未年樂頤居暨耆安長者日間護理中心 (ES18)
Po Leung Kuk Eco-Home for the Senior cum Sunny Green Day Care Centre for the Senior","九龍深水埗富昌邨富潤樓平台(部分)及二樓
Podium Level (part) and Level 2, Fu Yun House,
Fu Cheong Estate, Sham Shui Po, Kowloon",ecoh@poleungkuk.org.hk,"2267 4579
(2267 4250)","曾永賢
Tsang Wing Yin, Nelson",nelson.wy.tsang@poleungkuk.org.hk,2.2004,"護理及護養:
71 (資助)
69 (非資助)
日間: 25
暫托:4","護理及護養: 65歲或以上         2,485平方米

日間: 60歲或以上
",-
E-COMFORT,社署合約金,新界,安老服務,安老院舍及長者日間護理中心,安老院舍,保良局樂安居暨耆盛長者日間護理中心 (ES21),"保良局樂安居暨耆盛長者日間護理中心 (ES21)
Po Leung Kuk Comfort Court for the Senior cum Evergreen Day Care Centre for the Elderly","新界葵涌葵盛東邨盛和樓地下(部分)及二樓(部分)至七樓
G/F(part) and 2/F(part) to 7/F, Shing Wo House, Kwai Shing East Estate, Kwai Chung, N.T",comfortcourt@poleungkuk.org.hk,"院舍: 3520 2770
日間中心: 3520 2711
(3520 2771)","黃如意
Huang Ru Yi",ry.huang@poleungkuk.org.hk,8.2006,"護理及護養:
144 (資助)
96 (非資助)
日間: 25
暫托:5","65歲或以上/
5,292平方米

日間: 60歲或以上",-
E-TYH,社署合約金,新界,安老服務,安老院舍及長者日間護理中心,安老院舍,保良局天恩護老院暨耆昌長者日間護理中心 (ES22),"保良局天恩護老院暨耆昌長者日間護理中心 (ES22)
Po Leung Kuk Tin Yan Home for the Elderly cum Green Joy Day Care Centre for the Elderly","新界天水圍天恩邨服務設施大樓三樓及四樓
3/F & 4/F, Ancillary Facilities Block, Tin Yan Estate, Tin Shui Wai, N.T.",tinyanhome@poleungkuk.org.hk,"3741 0850
(3741 0851)","方綽暘 
Fong Cheuk Yeung, James",james.cy.fong@poleungkuk.org.hk,1.2008,"護理及護養:
74 (資助)
32 (非資助)
日間: 27
暫托:4","護理及護養: 65歲或以上


日間: 60歲或以上
2,176平方米",-
E-KLKC,社署合約金,香港,安老服務,安老院舍,安老院舍,保良局郭羅桂珍護老院 (ES23),"保良局郭羅桂珍護老院 (ES23)
Po Leung Kuk Kwok Law Kwai Chun Home for the Elderly","香港上環高陞街28號地下至四樓及部分天台
G/F to 4/F and Portion of Roof, 28 Ko Shing Street, Sheung Wan, Hong Kong",klkchome@poleungkuk.org.hk,"2858 6233
(2858 7133)","黃梓謙
Wong Tsz Him","	tszhim.wong@poleungkuk.org.hk",3.2009,"護理及護養:
43 (資助)
43 (非資助)
(1.12.2023生效)","65歲或以上/
1,721平方米",-
